timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1608053288223,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},Thread-Gruppe 1-5,text,false,,1235,0,10,10,0,0,0
1608053288223,0,List Products with different page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 73: http://localhost:30080/tools.descartes.teastore.webui/category?category=${category}&page=${page_id},Thread-Gruppe 1-7,text,false,,1235,0,10,10,0,0,0
1608053288221,5,Add Product 2 to Cart,500,,Thread-Gruppe 1-4,text,false,,6390,883,10,10,5,0,1
1608053288221,5,Add Product 2 to Cart,500,,Thread-Gruppe 1-1,text,false,,6390,882,10,10,5,0,1
1608053288221,5,Add Product 2 to Cart,500,,Thread-Gruppe 1-2,text,false,,6390,841,10,10,5,0,1
1608053288223,5,Add Product 2 to Cart,500,,Thread-Gruppe 1-5,text,false,,6390,882,10,10,5,0,1
1608053288225,3,Add Product 2 to Cart,500,,Thread-Gruppe 1-7,text,false,,6390,883,10,10,3,0,0
1608053288227,84,Logout,200,,Thread-Gruppe 1-4,text,true,,10479,1588,10,10,37,0,0
1608053288227,37,Logout-0,302,,Thread-Gruppe 1-4,,true,,1344,850,10,10,37,0,0
1608053288265,46,Logout-1,200,,Thread-Gruppe 1-4,text,true,,9135,738,10,10,46,0,0
1608053288228,84,Logout,200,,Thread-Gruppe 1-2,text,true,,10479,1546,10,10,45,0,1
1608053288228,45,Logout-0,302,,Thread-Gruppe 1-2,,true,,1344,808,10,10,45,0,1
1608053288274,38,Logout-1,200,,Thread-Gruppe 1-2,text,true,,9135,738,10,10,37,0,0
1608053288228,83,Logout,200,,Thread-Gruppe 1-1,text,true,,10479,1587,10,10,29,0,1
1608053288228,29,Logout-0,302,,Thread-Gruppe 1-1,,true,,1344,849,10,10,29,0,1
